Imagen,Nivel_Ruido,Algoritmo,PSNR,F1-Score,Tiempo_ms
3063_alto.png,alto,sobel,6.51,0.1752,1.84
5096_alto.png,alto,sobel,11.29,0.131,2.13
6046_alto.png,alto,sobel,7.56,0.0652,1.81
8068_alto.png,alto,sobel,8.43,0.1594,1.78
10081_alto.png,alto,prewitt,5.75,0.0482,0.24
14085_alto.png,alto,prewitt,8.06,0.0265,0.24
14092_alto.png,alto,prewitt,6.69,0.0298,0.23
15011_alto.png,alto,prewitt,7.2,0.1485,0.24
15062_alto.png,alto,prewitt,7.15,0.0893,0.24
16004_alto.png,alto,prewitt,8.32,0.1229,0.23
16068_alto.png,alto,prewitt,9.93,0.0354,0.25
17067_alto.png,alto,prewitt,6.87,0.0777,0.31
20069_alto.png,alto,prewitt,6.22,0.149,0.25
2018_alto.png,alto,prewitt,4.81,0.1583,0.25
23050_alto.png,alto,prewitt,9.39,0.1344,0.24
3063_alto.png,alto,prewitt,5.33,0.1583,0.24
5096_alto.png,alto,prewitt,11.68,0.1168,0.25
6046_alto.png,alto,prewitt,6.89,0.0691,0.24
8068_alto.png,alto,prewitt,7.59,0.199,0.24
10081_alto.png,alto,canny,4.7,0.0678,0.42
14085_alto.png,alto,canny,5.98,0.0235,0.5
14092_alto.png,alto,canny,4.94,0.0309,0.61
15011_alto.png,alto,canny,5.54,0.1302,0.72
15062_alto.png,alto,canny,5.85,0.0457,0.56
16004_alto.png,alto,canny,6.54,0.0966,0.56
16068_alto.png,alto,canny,7.77,0.0382,0.59
17067_alto.png,alto,canny,5.07,0.0556,0.64
20069_alto.png,alto,canny,5.11,0.1322,0.46
2018_alto.png,alto,canny,3.86,0.1468,0.48
23050_alto.png,alto,canny,7.25,0.1155,0.45
3063_alto.png,alto,canny,4.34,0.1105,0.33
5096_alto.png,alto,canny,8.25,0.1049,0.55
6046_alto.png,alto,canny,5.04,0.0498,0.58
8068_alto.png,alto,canny,6.6,0.0959,0.46
10081_alto.png,alto,pidinet,5.6,0.1527,171.05
14085_alto.png,alto,pidinet,6.75,0.0411,170.54
14092_alto.png,alto,pidinet,5.83,0.0756,170.04
15011_alto.png,alto,pidinet,6.82,0.1927,167.84
15062_alto.png,alto,pidinet,5.72,0.1765,172.94
16004_alto.png,alto,pidinet,8.07,0.1564,174.66
16068_alto.png,alto,pidinet,9.4,0.1405,170.49
17067_alto.png,alto,pidinet,7.17,0.1581,168.88
20069_alto.png,alto,pidinet,6.07,0.1618,170.18
2018_alto.png,alto,pidinet,4.76,0.1628,174.4
23050_alto.png,alto,pidinet,8.91,0.1807,171.8
3063_alto.png,alto,pidinet,4.78,0.1278,171.33
5096_alto.png,alto,pidinet,10.86,0.1738,176.54
6046_alto.png,alto,pidinet,6.24,0.1575,171.76
8068_alto.png,alto,pidinet,7.69,0.1739,176.17
10081_alto.png,alto,dexined,9.46,0.033,622.91
14085_alto.png,alto,dexined,8.87,0.0174,619.32
14092_alto.png,alto,dexined,8.74,0.0352,628.23
15011_alto.png,alto,dexined,8.29,0.0592,615.09
15062_alto.png,alto,dexined,8.11,0.0282,631.27
16004_alto.png,alto,dexined,8.28,0.0509,620.3
16068_alto.png,alto,dexined,8.7,0.0242,624.52
17067_alto.png,alto,dexined,7.54,0.0387,619.34
20069_alto.png,alto,dexined,8.33,0.0305,618.94
2018_alto.png,alto,dexined,6.92,0.06,618.62
23050_alto.png,alto,dexined,7.9,0.0712,624.55
3063_alto.png,alto,dexined,9.0,0.0134,619.65
5096_alto.png,alto,dexined,7.73,0.0524,627.86
6046_alto.png,alto,dexined,8.03,0.0385,615.27
8068_alto.png,alto,dexined,7.03,0.0283,617.46
